PagePath,Country,DeviceCategory,ActiveUsers,PageViews,AvgSessionDuration
/analytics,Croatia,desktop,5,137,929.64038927777779
/,Croatia,desktop,4,197,208.3918895882353
/map,Croatia,desktop,4,81,187.10097058333335
/recommendations,Croatia,desktop,4,174,256.82030986666666
/,Germany,desktop,2,22,71.5343355
/,Netherlands,desktop,2,11,49.9872675
/event/13,Croatia,desktop,2,2,1.750419
/event/17,Croatia,desktop,2,8,58.48526825
/event/17,Netherlands,desktop,2,3,7.1529045
/map,Germany,desktop,2,11,126.68171
/recommendations,Germany,desktop,2,9,30.542571
/recommendations,Netherlands,desktop,2,3,9.9995735
/,Austria,desktop,1,1,2.989126
/,Croatia,mobile,1,0,401.28684
/,Iran,desktop,1,1,7.596699
/,Sweden,desktop,1,5,9.635325
/,United Kingdom,desktop,1,8,40.752136
/event/1,Germany,desktop,1,1,29.678679
/event/1,Netherlands,desktop,1,1,9.491076
/event/10,Croatia,desktop,1,1,1.805465
/event/10,Germany,desktop,1,1,2.334332
/event/10,Netherlands,desktop,1,1,1.493985
/event/10,United Kingdom,desktop,1,1,2.162878
/event/11,Croatia,desktop,1,2,2.304795
/event/11,Germany,desktop,1,2,7.812954
/event/12,Austria,desktop,1,1,1.799167
/event/12,Iran,desktop,1,1,2.491923
/event/12,Sweden,desktop,1,1,2.463609
/event/13,Netherlands,desktop,1,1,2.454399
/event/13,Sweden,desktop,1,1,0.863296
/event/14,Germany,desktop,1,1,2.54377
/event/15,Germany,desktop,1,1,1.745254
/event/15,United Kingdom,desktop,1,1,1.497999
/event/16,Netherlands,desktop,1,1,0.097588
/event/16,United Kingdom,desktop,1,0,5.499237
/event/17,Germany,desktop,1,1,0.057526
/event/18,Croatia,desktop,1,1,2.096178
/event/18,Germany,desktop,1,2,3.043422
/event/18,Netherlands,desktop,1,1,9.897201
/event/18,United Kingdom,desktop,1,1,3.859255
/event/2,Germany,desktop,1,1,0.126191
/event/2,United Kingdom,desktop,1,0,2.683301
/event/20,Germany,desktop,1,2,33.541576
/event/20,Sweden,desktop,1,1,8.007022
/event/3,Croatia,desktop,1,1,2.678331
/event/3,United Kingdom,desktop,1,1,3.64685
/event/4,Croatia,desktop,1,1,3.865883
/event/4,Germany,desktop,1,1,2.698552
/event/4,Netherlands,desktop,1,1,8.542608
/event/4,United Kingdom,desktop,1,1,6.433624
/event/5,Croatia,desktop,1,1,1.887115
/event/5,Germany,desktop,1,1,2.617578
/event/5,Netherlands,desktop,1,1,5.035987
/event/5,United Kingdom,desktop,1,1,5.416129
/event/7,Germany,desktop,1,1,7.26845
/event/7,United Kingdom,desktop,1,1,2.151983
/event/9,Germany,desktop,1,2,32.401075
/event/9,Netherlands,desktop,1,3,10.769038
/event/9,Sweden,desktop,1,4,40.655803
/event/9,United Kingdom,desktop,1,1,4.463095
/map,Austria,desktop,1,2,8.075515
/map,Iran,desktop,1,1,8.380092
/map,Netherlands,desktop,1,6,12.31579
/map,Sweden,desktop,1,1,4.387877
/map,United Kingdom,desktop,1,1,3.514049
/recommendations,Austria,desktop,1,1,2.403902
/recommendations,Iran,desktop,1,1,0.000227
/recommendations,Sweden,desktop,1,3,113.698949
/recommendations,United Kingdom,desktop,1,5,22.067248
